Rok,Jednotlive strany,Pocet hlasu lidi,Pocet hlasu v %
2002,Křesťanská a demokratická unie - Československá strana lidová,145680,7.43
2002,Strana zelených,71830,3.66
2002,Česká strana sociálně demokratická,403889,20.59
2002,Občanská demokratická aliance,26005,1.33
2002,Strana za životní jistoty,8820,0.45
2002,Komunistická strana Čech a Moravy,260123,13.26
2002,Občanská demokratická strana,743089,37.89
2002,Pravá volba pro Plzeň,183245,9.34
2002,"Koalice US-DEU, SNK",118713,6.05
2006,Plzeňská aliance,168750,7.58
2006,Komunistická str.Čech a Moravy,277883,12.48
2006,Občanská demokratická strana,1007049,45.23
2006,Koruna Česká (monarch.strana),2263,0.1
2006,Pravá volba pro Plzeň,177562,7.98
2006,Křesť.demokr.unie-Čs.str.lid.,141259,6.3500000000000005
2006,Česká str.sociálně demokrat.,451520,20.28
2010,Občanská demokratická strana,565614,24.78
2010,Pravá volba pro Plzeň,115104,5.04
2010,Plzeňská aliance,102860,4.51
2010,Volte Pr.Blok www.cibulka.net,1472,0.06
2010,OBČANÉ.CZ,206734,9.06
2010,Dělnic.str.sociální spravedl.,4321,0.19
2010,Česká str.sociálně demokrat.,543564,23.81
2010,Česká pirátská strana,18733,0.8200000000000001
2010,Suverenita-blok J.Bobošíkové,47184,2.07
2010,Křesť.demokr.unie-Čs.str.lid.,98644,4.32
2010,Strana Práv Občanů ZEMANOVCI,14336,0.63
2010,Věci veřejné,60762,2.66
2010,Balbínova poetická strana,907,0.04
2010,TOP 09,280985,12.31
2010,Komunistická str.Čech a Moravy,221476,9.7
2014,VEŘEJNÉ ZÁJMY PLZNĚ,53661,2.91
2014,Pravá volba pro Plzeň (PVP),50469,2.74
2014,Strana svobodných občanů,41131,2.23
2014,Změna pro Plzeň,45763,2.48
2014,Společně za Plzeň,88100,4.78
2014,TOP 09,166696,9.05
2014,Volební strana REPUBLIKA,2025,0.11
2014,Sdružení DSZ a NK,844,0.05
2014,Plzeň pro sport,32906,1.79
2014,Komunistická str.Čech a Moravy,152903,8.3
2014,ANO 2011,329815,17.900000000000006
2014,Strana Práv Občanů,2358,0.13
2014,Česká str.sociálně demokrat.,303042,16.45
2014,Občané patrioti,134761,7.31
2014,DSSS-Za Plz. bez hazar. a nepř,10215,0.55
2014,Občanská demokratická strana,323390,17.55
2014,Křesť.demokr.unie-Čs.str.lid.,104535,5.67
2018,Koruna Česká (monarch.strana),13486,0.61
2018,Česká pirátská strana,257260,11.69
2018,KDU-ČSL- PRAVÁ VOLBA PRO PLZEŇ,144203,6.5600000000000005
2018,PRO PLZEŇ,105272,4.79
2018,TOP 09,150150,6.83
2018,Svob.a př.dem.-T.Okamura (SPD),108882,4.95
2018,Občanská demokratická strana,486401,22.11
2018,NOVÁ PLZEŇ s Jiřím Strobachem,60597,2.75
2018,ANO 2011,488324,22.2
2018,PATRIOTI STAROST. S PODP. SVOB,80381,3.65
2018,Komunistická str.Čech a Moravy,124055,5.64
2018,Česká Plzeň - Naše Šance,10589,0.48
2018,Česká str.sociálně demokrat.,141073,6.41
2018,Demokrat. strana zelených a NK,1328,0.06
2018,Strana soukromníků ČR,8549,0.39
2018,VEŘEJNÉ ZÁJMY PLZNĚ,19337,0.88
