Rok,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Pocet hlasu lidi,Pocet hlasu v %,Pořadí kand.,Pořadí zvoleni,Mandát
2002,Adamec Pavel,MUDr.,35,US-DEU,US-DEU,2474,2.08,29,26, 
2002,Aloy Zdeněk,Ing.,70,ČSSD,ČSSD,7283,1.8,45,35, 
2002,Anderle Jan,Ing.,46,PVP,PVP,5358,2.92,3,3,*
2002,Andrlík Roman, ,35,ČSSD,ČSSD,7665,1.89,43,33, 
2002,Anton Jiří, ,27,SZ,BEZPP,1343,1.86,16,0, 
2002,Arnošt Patrik, ,30,US-DEU,US-DEU,2476,2.08,13,10, 
2002,Aschenbrenner Lumír,Ing.,42,ODS,ODS,17550,2.36,17,3,*
2002,Aust Jan, ,71,KSČM,KSČM,5068,1.94,47,39, 
2002,Babnič Jan, ,48,ČSSD,ČSSD,8220,2.03,34,24, 
2002,Ballýová Hana, ,61,KSČM,KSČM,5405,2.07,40,32, 
2002,Bardoňová Jana, ,71,KSČM,KSČM,5376,2.06,42,34, 
2002,Bartman Vladislav,Ing.,49,ODS,ODS,16776,2.25,3,5,*
2002,Bartošová Libuše,RNDr.,43,US-DEU,US-DEU,2385,2.0,27,24, 
2002,Basl Jiří,Ing.,33,KDU-ČSL,KDU-ČSL,3133,2.15,17,16, 
2002,Baxa Martin,Mgr.,27,ODS,ODS,17133,2.3,4,6,*
2002,Bayer Rudolf, ,29,US-DEU,US-DEU,2264,1.9,28,25, 
2002,Bednář Milan,Ing.,70,ODA,ODA,624,2.39,4,0, 
2002,Bednář Radomír,Mgr.,42,KDU-ČSL,BEZPP,2696,1.85,34,31, 
2002,Běláč Josef, ,61,KSČM,KSČM,5379,2.06,43,35, 
2002,Beneš Karel, ,72,SŽJ,SŽJ,368,4.17,3,0, 
2002,Beran Pavel, ,48,ODA,BEZPP,449,1.72,29,0, 
2002,Berglová Marie, ,63,ODA,ODA,482,1.85,8,0, 
2002,Bernhardt Tomáš,Mgr.,34,KDU-ČSL,BEZPP,2577,1.76,42,39, 
2002,Bican Jan,Ing.,36,US-DEU,US-DEU,2157,1.81,37,34, 
2002,Bidlo Jaroslav, ,52,KSČM,KSČM,5717,2.19,17,9, 
2002,Bis Jiří,Ing.,61,ČSSD,ČSSD,10816,2.67,1,1,*
2002,Bláhovec Jiří,MUDr.,50,PVP,BEZPP,5011,2.73,7,1, 
2002,Blažková Pavla, ,18,SZ,BEZPP,1568,2.18,10,0, 
2002,Boček Pavel,MUDr.,41,KDU-ČSL,KDU-ČSL,4776,3.27,4,1, 
2002,Bočko Karel,Ing.,53,ODA,ODA,717,2.75,7,0, 
2002,Bochnovič Peter, ,34,PVP,BEZPP,2954,1.61,40,36, 
2002,Bornová Kateřina,MUDr.,33,US-DEU,US-DEU,3868,3.25,3,1, 
2002,Boubín Josef, ,59,ČSSD,ČSSD,8124,2.01,33,23, 
2002,Boučková Květuše, ,74,SŽJ,SŽJ,255,2.89,10,0, 
2002,Brabec Miroslav,Mgr.,47,ČSSD,ČSSD,9914,2.45,3,2,*
2002,Breitfelder Miroslav,Mgr.,36,ODS,ODS,16129,2.17,21,1, 
2002,Brejcha Jaroslav, ,62,KSČM,KSČM,5533,2.12,27,19, 
2002,Brouček Jan, ,54,US-DEU,US-DEU,2289,1.92,22,19, 
2002,Brousek Václav,Ing.,50,ODS,ODS,15611,2.1,29,9, 
2002,Bruner Jiří,Ing.,54,KSČM,KSČM,5656,2.17,22,14, 
2002,Budil Ivo,Doc. RNDr. Ph.D.,37,KDU-ČSL,BEZPP,4662,3.2,6,2, 
2002,Bugoš Jaroslav, ,51,KSČM,KSČM,5683,2.18,13,5, 
2002,Buňatová Marcela,MUDr.,29,PVP,BEZPP,3379,1.84,35,31, 
2002,Burda Miroslav,Ing.,38,PVP,BEZPP,2435,1.32,47,43, 
2002,Bureš Jaroslav, ,63,SŽJ,SŽJ,277,3.14,11,0, 
2002,Burešová Eva, ,61,ČSSD,ČSSD,8106,2.0,29,19, 
